Articles,Cost ,Category,Article Category,Quantity,Total_Value
Accident Victim,407500,2.Aid,2.Aid,21,407500.0
"Acer Monitor 21.5""",106500,Computers & Printers,Computers & Printers,15,106500.0
Agri Battery Sprayer,499800,Agriculture,Agriculture,125,520800.0
Agri Cart Weeder,74000,Agriculture,Agriculture,1,74000.0
Agri Manual Sprayer,51744,Agriculture,Agriculture,33,51744.0
Agri Power Sprayer (2 STK),246960,Agriculture,Agriculture,22,246960.0
Agri Power Sprayer (4 STK),56000,Agriculture,Agriculture,4,56000.0
AHUJA Radios,41300,Electronics,Electronics,1,41300.0
Air Conditioner 1 Tonne,30000,Electronics,Electronics,1,30000.0
Al.Dabara Set 3 Kg,95000,Kitchen,Kitchen,100,95000.0
Aluminium Idli Making Box,96000,Kitchen,Kitchen,20,96000.0
Aluminium Vessels Set - Big,5656,Kitchen,Kitchen,1,5656.0
Aluminium Vessels Sets,100000,Kitchen,Kitchen,2,100000.0
Artificial Limb,15000,Medical,Medical,1,15000.0
Auto- 3 Wheeler,310000,Automotive,Automotive,3,310000.0
Barber Set,5000,Miscellaneous,Miscellaneous,1,5000.0
Bore well Pump(5 HP) / DOL Starter,110000,Agriculture,Agriculture,2,110000.0
Bosch Electrician Kit 10 Re,225144,Electricals,Electricals,53,225144.0
Bosch Electrician Kit 13 Re,200836,Electricals,Electricals,39,200836.0
Bosch Rotary Hammer GBH 220,31860,Electricals,Electricals,5,31860.0
Business Aid,614040,2.Aid,2.Aid,38,614040.0
Butterfly Mixie 750W,65000,Electronics,Electronics,20,65000.0
Canon EOS 1500 Camera,48000,Electronics,Electronics,1,48000.0
Canon Printer 6030B (USB),13900,Computers & Printers,Computers & Printers,1,13900.0
Canon TR 4826 Photocopier,265000,Computers & Printers,Computers & Printers,1,265000.0
Ceiling Fan,21600,Electricals,Electricals,4,21600.0
Ceiling Fan- Ord,64995,Electricals,Electricals,35,64995.0
Colour Printer HP Smart Tank 760 All in one,27500,Computers & Printers,Computers & Printers,1,27500.0
Colour Toner pack,16284,Computers & Printers,Computers & Printers,1,16284.0
Construction Aid,120000,2.Aid,2.Aid,6,120000.0
Desktop Computer,591500,Computers & Printers,Computers & Printers,16,728000.0
Desktop Computer - HVY,119225,Computers & Printers,Computers & Printers,1,119225.0
Diamond Cooker 12 Ltrs,1381200,Kitchen,Kitchen,1151,1381200.0
Dictionary English - Tamil,60000,Stationery,Stationery,500,60000.0
Domestic Stove 2 Burner,149600,Kitchen,Kitchen,68,149600.0
Education Aid,1701013,2.Aid,2.Aid,67,1701013.0
Electric Iron Box,3000,Electricals,Electricals,3,3000.0
Electronic weighing scale,7000,Miscellaneous,Miscellaneous,1,7000.0
Epson Printer L3250 (Lite),300200,Computers & Printers,Computers & Printers,19,300200.0
Ex gratia for Deceased,1600000,2.Aid,2.Aid,8,1600000.0
Financial Aid,158000,2.Aid,2.Aid,19,158000.0
Fishing net,120475,Miscellaneous,Miscellaneous,3,120475.0
Fixed Wheel Chair,44100,Bicycle & Tricycle,Bicycle & Tricycle,10,44100.0
Flood Light 50 W,1500,Electricals,Electricals,3,1500.0
Flood Relief Fund,2648000,2.Aid,2.Aid,254,2663000.0
Foldable Wheel Chair,86625,Bicycle & Tricycle,Bicycle & Tricycle,15,86625.0
Front Load Business Tricycle,14560,Bicycle & Tricycle,Bicycle & Tricycle,1,14560.0
Fruit Juice Mixie,5850,Electricals,Electricals,1,5850.0
