REQUESTED ARTICLE,District,Institution,Others,Public,Total,Ordered Quantity,Remaining Quantity
AHUJA Radios,1,0,0,0,1,1,0
Accident Victim,0,0,21,0,21,21,0
"Acer Monitor 21.5""",0,15,0,0,15,15,0
Agri Battery Sprayer,118,0,0,1,119,125,-6
Agri Cart Weeder,0,0,0,1,1,1,0
Agri Manual Sprayer,33,0,0,0,33,35,-2
Agri Power Sprayer (2 STK),20,0,0,1,21,21,0
Agri Power Sprayer (4 STK),4,0,0,0,4,4,0
Air Conditioner 1 Tonne,1,0,0,0,1,1,0
Al.Dabara Set 3 Kg,100,0,0,0,100,100,0
Aluminium Idli Making Box,19,0,0,1,20,22,-2
Aluminium Vessels Set - Big,1,0,0,0,1,1,0
Aluminium Vessels Sets,2,0,0,0,2,2,0
Artificial Limb,1,0,0,0,1,0,1
Auto- 3 Wheeler,1,0,0,2,3,3,0
Barber Set,1,0,0,0,1,1,0
Bore well Pump(5 HP) / DOL Starter,2,0,0,0,2,2,0
Bosch Electrician Kit 10 Re,53,0,0,0,53,53,0
Bosch Electrician Kit 13 Re,34,0,0,3,37,39,-2
Bosch Rotary Hammer GBH 220,5,0,0,0,5,6,-1
Business Aid,5,0,0,33,38,38,0
Butterfly Mixie 750W,20,0,0,0,20,20,0
Canon EOS 1500 Camera,0,1,0,0,1,1,0
Canon Printer 6030B (USB),0,0,0,1,1,0,1
Canon TR 4826 Photocopier,0,1,0,0,1,0,1
Ceiling Fan,4,0,0,0,4,4,0
Ceiling Fan- Ord,0,35,0,0,35,35,0
Colour Printer HP Smart Tank 760 All in one,0,1,0,0,1,1,0
Colour Toner pack,1,0,0,0,1,1,0
Construction Aid,0,0,0,6,6,6,0
Desktop Computer,11,2,0,0,13,13,0
Desktop Computer - HVY,0,0,0,1,1,1,0
Diamond Cooker 12 Ltrs,1151,0,0,0,1151,1151,0
Dictionary English - Tamil,0,0,0,500,500,500,0
Domestic Stove 2 Burner,68,0,0,0,68,68,0
Education Aid,53,0,0,14,67,66,1
Electric Iron Box,3,0,0,0,3,3,0
Electronic weighing scale,0,0,0,1,1,1,0
Epson Printer L3250 (Lite),17,2,0,0,19,17,2
Ex gratia for Deceased,2,0,5,1,8,8,0
Financial Aid,2,0,0,16,18,16,2
Fishing net,2,0,0,1,3,1,2
Fixed Wheel Chair,10,0,0,0,10,10,0
Flood Light 50 W,0,3,0,0,3,3,0
Flood Relief Fund,0,0,244,10,254,254,0
Foldable Wheel Chair,0,15,0,0,15,15,0
Front Load Business Tricycle,1,0,0,0,1,1,0
Fruit Juice Mixie,0,0,0,1,1,1,0
Gaja Hi tech Agro 6.5 HP Pump,2,0,0,0,2,2,0
Gaja Mini Weeder,1,0,0,0,1,1,0
Gasoline Generator XLNT-9500E,1,0,0,0,1,1,0
Gents Cycle,159,0,0,11,170,181,-11
Girls Cycle,162,0,0,17,179,176,3
Goat,0,0,0,5,5,5,0
Gp Welding Machine Arc 200,4,0,0,0,4,4,0
